GUZMAN,167044,4.11,0.42,1.29,0.15,0.27,93.77
BURNS,165925,80.26,14.06,0.59,0.78,1.83,2.48
CRAWFORD,164457,68.56,25.65,0.49,0.75,2.3,2.24
OLSON,164035,94.76,0.4,0.66,0.72,1.43,2.03
SIMPSON,163181,70.78,23.09,0.53,0.78,2.3,2.53
PORTER,163054,68.57,25.4,0.55,0.72,2.31,2.45
HUNTER,162440,60.78,32.69,0.48,1.02,2.63,2.41
GORDON,161833,64.25,29.15,0.62,0.68,2.26,3.04
MENDEZ,161717,4.48,0.78,0.48,0.24,0.18,93.83
SILVA,161633,32.61,2.03,2.01,0.39,1.62,61.34
SHAW,160400,72.07,21.19,1.48,0.75,2.15,2.36
SNYDER,160262,94.07,1.46,0.59,0.52,1.45,1.92
MASON,160213,68.82,25.1,0.53,0.76,2.38,2.41
DIXON,159480,54.25,39.26,0.43,0.96,2.61,2.49
MUNOZ,158483,4.89,0.3,0.91,0.21,0.21,93.48
HUNT,158421,73.57,16.93,0.61,4.23,2.35,2.31
HICKS,158320,67.37,26.88,0.42,0.98,2.23,2.13
HOLMES,156780,56.79,37.28,0.42,0.76,2.37,2.38
PALMER,156601,75.08,18.57,0.55,0.81,2.11,2.87
WAGNER,155795,92.47,2.6,0.58,0.54,1.4,2.41
BLACK,154738,74.63,19,0.53,1.44,2.08,2.33
ROBERTSON,153666,73.42,20.61,0.52,0.89,2.11,2.46
BOYD,153469,63.18,30.77,0.51,1.02,2.36,2.16
ROSE,153397,82.08,11.61,0.72,0.64,1.99,2.96
STONE,153329,85.95,8.13,0.65,0.95,1.93,2.39
SALAZAR,152703,5.62,0.27,1.69,0.46,0.3,91.65
FOX,152334,88.08,6.06,0.56,1.03,1.84,2.42
WARREN,152147,70.08,23.94,0.55,0.84,2.26,2.33
MILLS,151942,77.5,16.77,0.51,0.82,2.06,2.33
MEYER,150895,94.84,0.52,0.71,0.29,1.37,2.28
RICE,149500,77.63,16.74,0.57,0.74,1.99,2.33
SCHMIDT,147034,95.15,0.37,0.61,0.34,1.19,2.34
GARZA,147005,6.66,0.24,0.17,0.28,0.15,92.49
DANIELS,146570,54.67,38.54,0.51,0.91,2.68,2.7
FERGUSON,146426,74.83,19.19,0.6,0.62,2.23,2.53
NICHOLS,145584,82.42,11.88,0.52,0.76,1.99,2.43
STEPHENS,144646,73.9,20.31,0.46,0.67,2.12,2.54
SOTO,144451,5.15,0.48,0.44,0.26,0.22,93.45
WEAVER,143837,84.41,9.99,0.52,1.09,1.87,2.12
RYAN,143452,91.65,3.02,0.89,0.43,1.46,2.55
GARDNER,142894,75.01,19.4,0.56,0.7,2.04,2.29
PAYNE,142601,71.55,22.63,0.45,0.58,2.37,2.42
GRANT,142277,55.36,37.91,0.52,1.08,2.35,2.79
DUNN,141427,80.08,14.39,0.75,0.59,1.94,2.25
KELLEY,140693,83.78,10.8,0.55,0.66,2.03,2.18
SPENCER,139951,69.41,23.22,0.76,1.47,2.48,2.67
HAWKINS,139751,61.08,32.75,0.48,0.69,2.5,2.5
ARNOLD,138893,81.27,13.34,0.57,0.55,1.87,2.41
PIERCE,138629,80.98,12.86,0.53,1.06,2.1,2.47
VAZQUEZ,138322,3.53,0.35,0.18,0.06,0.12,95.75
HANSEN,137977,94.22,0.53,0.74,0.49,1.47,2.54
PETERS,137513,82.86,10.41,0.98,1.33,1.86,2.55
SANTOS,137232,20.06,2.31,13.32,0.27,1.85,62.2
HART,137184,80.54,13.64,0.56,0.73,2.01,2.52
BRADLEY,136720,69.12,25.09,0.44,0.82,2.19,2.34
KNIGHT,136713,72.31,21.61,0.52,0.9,2.17,2.5
